run_name,pretrain_steps,seed,model_hidden_dim,model_heads,model_depth,threshold,episodes_to_target,pretrain_policy_loss,pretrain_value_loss,pretrain_accuracy
pretrain_40_half-seed0,40,0,96,3,2,0.99,2100,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed1,40,1,96,3,2,0.8,700,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed1,40,1,96,3,2,0.9,900,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed1,40,1,96,3,2,0.97,1800,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed1,40,1,96,3,2,0.99,2400,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed2,40,2,96,3,2,0.8,600,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed2,40,2,96,3,2,0.9,800,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed2,40,2,96,3,2,0.97,1500,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed2,40,2,96,3,2,0.99,3700,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed3,40,3,96,3,2,0.8,600,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed3,40,3,96,3,2,0.9,800,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed3,40,3,96,3,2,0.97,1900,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed3,40,3,96,3,2,0.99,2600,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed4,40,4,96,3,2,0.8,600,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed4,40,4,96,3,2,0.9,700,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed4,40,4,96,3,2,0.97,1700,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed4,40,4,96,3,2,0.99,1800,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_60_half-seed0,60,0,96,3,2,0.8,500,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed0,60,0,96,3,2,0.9,500,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed0,60,0,96,3,2,0.97,1200,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed0,60,0,96,3,2,0.99,1400,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed1,60,1,96,3,2,0.8,500,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed1,60,1,96,3,2,0.9,600,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed1,60,1,96,3,2,0.97,1400,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed1,60,1,96,3,2,0.99,2200,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed2,60,2,96,3,2,0.8,500,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed2,60,2,96,3,2,0.9,600,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed2,60,2,96,3,2,0.97,1100,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed2,60,2,96,3,2,0.99,2500,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed3,60,3,96,3,2,0.8,500,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed3,60,3,96,3,2,0.9,700,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed3,60,3,96,3,2,0.97,1300,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed3,60,3,96,3,2,0.99,2200,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed4,60,4,96,3,2,0.8,400,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed4,60,4,96,3,2,0.9,600,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed4,60,4,96,3,2,0.97,1100,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_60_half-seed4,60,4,96,3,2,0.99,3400,0.18577291518032385,0.04478543908712982,0.9321473270159127
pretrain_80_half-seed0,80,0,96,3,2,0.8,500,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed0,80,0,96,3,2,0.9,500,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed0,80,0,96,3,2,0.97,1200,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed0,80,0,96,3,2,0.99,1400,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed1,80,1,96,3,2,0.8,400,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed1,80,1,96,3,2,0.9,700,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed1,80,1,96,3,2,0.97,1400,0.13474195336292352,0.04210105530997128,0.9501162166994457
