run_name,pretrain_steps,seed,model_hidden_dim,model_heads,model_depth,threshold,episodes_to_target,pretrain_policy_loss,pretrain_value_loss,pretrain_accuracy
pretrain_20_1x-seed4,20,4,128,4,2,0.8,400,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed4,20,4,128,4,2,0.9,700,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed4,20,4,128,4,2,0.97,1100,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed4,20,4,128,4,2,0.99,3000,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_40_1x-seed0,40,0,128,4,2,0.8,500,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed0,40,0,128,4,2,0.9,600,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed0,40,0,128,4,2,0.97,1700,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed0,40,0,128,4,2,0.99,2600,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed1,40,1,128,4,2,0.8,500,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed1,40,1,128,4,2,0.9,600,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed1,40,1,128,4,2,0.97,800,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed1,40,1,128,4,2,0.99,1400,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed2,40,2,128,4,2,0.8,600,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed2,40,2,128,4,2,0.9,600,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed2,40,2,128,4,2,0.97,1100,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed2,40,2,128,4,2,0.99,1100,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed3,40,3,128,4,2,0.8,700,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed3,40,3,128,4,2,0.9,700,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed3,40,3,128,4,2,0.97,1100,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed3,40,3,128,4,2,0.99,1600,0.1921946838292968,0.04886060284235401,0.9357232254603969
