run_name,pretrain_steps,seed,model_hidden_dim,model_heads,model_depth,episode,win_rate,draw_rate
pretrain_20_half-seed0,20,0,96,3,2,200,0.0,0.17
pretrain_20_half-seed0,20,0,96,3,2,300,0.0,0.36
pretrain_20_half-seed0,20,0,96,3,2,400,0.0,0.485
pretrain_20_half-seed0,20,0,96,3,2,500,0.0,0.62
pretrain_20_half-seed0,20,0,96,3,2,600,0.0,0.77
pretrain_20_half-seed0,20,0,96,3,2,700,0.0,0.8
pretrain_20_half-seed0,20,0,96,3,2,800,0.0,0.835
pretrain_20_half-seed0,20,0,96,3,2,900,0.0,0.935
pretrain_20_half-seed0,20,0,96,3,2,1000,0.0,0.905
pretrain_20_half-seed0,20,0,96,3,2,1100,0.0,0.925
pretrain_20_half-seed0,20,0,96,3,2,1200,0.0,0.9
pretrain_20_half-seed0,20,0,96,3,2,1300,0.0,0.93
pretrain_20_half-seed0,20,0,96,3,2,1400,0.0,0.915
pretrain_20_half-seed0,20,0,96,3,2,1500,0.0,0.915
pretrain_20_half-seed0,20,0,96,3,2,1600,0.0,0.88
pretrain_20_half-seed0,20,0,96,3,2,1700,0.0,0.96
pretrain_20_half-seed0,20,0,96,3,2,1800,0.0,0.945
pretrain_20_half-seed0,20,0,96,3,2,1900,0.0,0.95
pretrain_20_half-seed0,20,0,96,3,2,2000,0.0,0.97
pretrain_20_half-seed0,20,0,96,3,2,2100,0.0,0.965
pretrain_20_half-seed0,20,0,96,3,2,2200,0.0,0.96
pretrain_20_half-seed0,20,0,96,3,2,2300,0.0,0.955
pretrain_20_half-seed0,20,0,96,3,2,2400,0.0,0.95
pretrain_20_half-seed0,20,0,96,3,2,2500,0.0,0.965
pretrain_20_half-seed0,20,0,96,3,2,2600,0.0,0.96
pretrain_20_half-seed0,20,0,96,3,2,2700,0.0,0.95
pretrain_20_half-seed0,20,0,96,3,2,2800,0.0,0.985
pretrain_20_half-seed0,20,0,96,3,2,2900,0.0,0.985
pretrain_20_half-seed0,20,0,96,3,2,3000,0.0,0.985
pretrain_20_half-seed0,20,0,96,3,2,3100,0.0,0.955
pretrain_20_half-seed0,20,0,96,3,2,3200,0.0,0.985
pretrain_20_half-seed0,20,0,96,3,2,3300,0.0,0.995
pretrain_20_half-seed1,20,1,96,3,2,0,0.0,0.11
pretrain_20_half-seed1,20,1,96,3,2,100,0.0,0.17
pretrain_20_half-seed1,20,1,96,3,2,200,0.0,0.255
pretrain_20_half-seed1,20,1,96,3,2,300,0.0,0.47
pretrain_20_half-seed1,20,1,96,3,2,400,0.0,0.585
pretrain_20_half-seed1,20,1,96,3,2,500,0.0,0.685
pretrain_20_half-seed1,20,1,96,3,2,600,0.0,0.84
pretrain_20_half-seed1,20,1,96,3,2,700,0.0,0.855
pretrain_20_half-seed1,20,1,96,3,2,800,0.0,0.915
pretrain_20_half-seed1,20,1,96,3,2,900,0.0,0.87
pretrain_20_half-seed1,20,1,96,3,2,1000,0.0,0.925
pretrain_20_half-seed1,20,1,96,3,2,1100,0.0,0.925
pretrain_20_half-seed1,20,1,96,3,2,1200,0.0,0.925
pretrain_20_half-seed1,20,1,96,3,2,1300,0.0,0.93
pretrain_20_half-seed1,20,1,96,3,2,1400,0.0,0.96
pretrain_20_half-seed1,20,1,96,3,2,1500,0.0,0.94
pretrain_20_half-seed1,20,1,96,3,2,1600,0.0,0.95
pretrain_20_half-seed1,20,1,96,3,2,1700,0.0,0.93
pretrain_20_half-seed1,20,1,96,3,2,1800,0.0,0.96
pretrain_20_half-seed1,20,1,96,3,2,1900,0.0,0.985
pretrain_20_half-seed1,20,1,96,3,2,2000,0.0,0.96
pretrain_20_half-seed1,20,1,96,3,2,2100,0.0,0.97
pretrain_20_half-seed1,20,1,96,3,2,2200,0.0,0.98
pretrain_20_half-seed1,20,1,96,3,2,2300,0.0,0.945
pretrain_20_half-seed1,20,1,96,3,2,2400,0.0,0.99
pretrain_20_half-seed2,20,2,96,3,2,0,0.0,0.1
pretrain_20_half-seed2,20,2,96,3,2,100,0.0,0.15
pretrain_20_half-seed2,20,2,96,3,2,200,0.0,0.25
pretrain_20_half-seed2,20,2,96,3,2,300,0.0,0.385
pretrain_20_half-seed2,20,2,96,3,2,400,0.0,0.59
pretrain_20_half-seed2,20,2,96,3,2,500,0.0,0.74
pretrain_20_half-seed2,20,2,96,3,2,600,0.0,0.815
pretrain_20_half-seed2,20,2,96,3,2,700,0.0,0.85
pretrain_20_half-seed2,20,2,96,3,2,800,0.0,0.915
pretrain_20_half-seed2,20,2,96,3,2,900,0.0,0.895
pretrain_20_half-seed2,20,2,96,3,2,1000,0.0,0.885
pretrain_20_half-seed2,20,2,96,3,2,1100,0.0,0.87
pretrain_20_half-seed2,20,2,96,3,2,1200,0.0,0.935
pretrain_20_half-seed2,20,2,96,3,2,1300,0.0,0.915
pretrain_20_half-seed2,20,2,96,3,2,1400,0.0,0.91
pretrain_20_half-seed2,20,2,96,3,2,1500,0.0,0.95
pretrain_20_half-seed2,20,2,96,3,2,1600,0.0,0.95
pretrain_20_half-seed2,20,2,96,3,2,1700,0.0,0.97
pretrain_20_half-seed2,20,2,96,3,2,1800,0.0,0.93
pretrain_20_half-seed2,20,2,96,3,2,1900,0.0,0.955
pretrain_20_half-seed2,20,2,96,3,2,2000,0.0,0.975
pretrain_20_half-seed2,20,2,96,3,2,2100,0.0,0.94
pretrain_20_half-seed2,20,2,96,3,2,2200,0.0,0.955
pretrain_20_half-seed2,20,2,96,3,2,2300,0.0,0.955
pretrain_20_half-seed2,20,2,96,3,2,2400,0.0,0.955
pretrain_20_half-seed2,20,2,96,3,2,2500,0.0,0.935
pretrain_20_half-seed2,20,2,96,3,2,2600,0.0,0.965
pretrain_20_half-seed2,20,2,96,3,2,2700,0.0,0.965
pretrain_20_half-seed2,20,2,96,3,2,2800,0.0,0.965
pretrain_20_half-seed2,20,2,96,3,2,2900,0.0,0.95
pretrain_20_half-seed2,20,2,96,3,2,3000,0.0,0.95
pretrain_20_half-seed2,20,2,96,3,2,3100,0.0,0.95
pretrain_20_half-seed2,20,2,96,3,2,3200,0.0,0.98
pretrain_20_half-seed2,20,2,96,3,2,3300,0.0,0.965
pretrain_20_half-seed2,20,2,96,3,2,3400,0.0,0.98
pretrain_20_half-seed2,20,2,96,3,2,3500,0.0,0.975
pretrain_20_half-seed2,20,2,96,3,2,3600,0.0,0.95
pretrain_20_half-seed2,20,2,96,3,2,3700,0.0,0.995
pretrain_20_half-seed3,20,3,96,3,2,0,0.0,0.135
pretrain_20_half-seed3,20,3,96,3,2,100,0.0,0.16
pretrain_20_half-seed3,20,3,96,3,2,200,0.0,0.27
pretrain_20_half-seed3,20,3,96,3,2,300,0.0,0.425
pretrain_20_half-seed3,20,3,96,3,2,400,0.0,0.57
pretrain_20_half-seed3,20,3,96,3,2,500,0.0,0.67
pretrain_20_half-seed3,20,3,96,3,2,600,0.0,0.805
pretrain_20_half-seed3,20,3,96,3,2,700,0.0,0.88
pretrain_20_half-seed3,20,3,96,3,2,800,0.0,0.875
pretrain_20_half-seed3,20,3,96,3,2,900,0.0,0.885
pretrain_20_half-seed3,20,3,96,3,2,1000,0.0,0.9
pretrain_20_half-seed3,20,3,96,3,2,1100,0.0,0.915
pretrain_20_half-seed3,20,3,96,3,2,1200,0.0,0.945
pretrain_20_half-seed3,20,3,96,3,2,1300,0.0,0.96
pretrain_20_half-seed3,20,3,96,3,2,1400,0.0,0.94
pretrain_20_half-seed3,20,3,96,3,2,1500,0.0,0.96
pretrain_20_half-seed3,20,3,96,3,2,1600,0.0,0.93
pretrain_20_half-seed3,20,3,96,3,2,1700,0.0,0.905
pretrain_20_half-seed3,20,3,96,3,2,1800,0.0,0.935
pretrain_20_half-seed3,20,3,96,3,2,1900,0.0,0.95
